,line,code,description,date,ADVANCE,SECOND,THIRD,CURRENT,adv_less_second,adv_less_third,adv_less_current,second_less_third,abs_adv_less_second,abs_adv_less_third,abs_second_less_third,abs_two_year,abs_current,abs_adv_less_current,abs_third_less_current,year,month,date_t
1098,33,B985RY2,        Software \4\,2010_Q1,0.36,0.23,0.18,-0.15,0.13,0.18,0.51,0.05,0.13,0.18,0.05,0.14,0.15,0.51,0.33,2010,1,2010-01-01
1099,33,B985RY2,        Software \4\,2010_Q2,0.13,0.14,0.15,-0.14,-0.01,-0.02,0.27,-0.01,0.01,0.02,0.01,0.14,0.14,0.27,0.29,2010,4,2010-04-01
1100,33,B985RY2,        Software \4\,2010_Q3,0.16,0.28,0.18,0.06,-0.12,-0.02,0.1,0.1,0.12,0.02,0.1,0.12,0.06,0.1,0.12,2010,7,2010-07-01
1101,33,B985RY2,        Software \4\,2010_Q4,0.16,0.14,0.21,0.09,0.02,-0.05,0.07,-0.07,0.02,0.05,0.07,0.12,0.09,0.07,0.12,2010,10,2010-10-01
1102,33,B985RY2,        Software \4\,2011_Q1,0.18,0.25,0.06,0.14,-0.07,0.12,0.04,0.19,0.07,0.12,0.19,0.12,0.14,0.04,0.08,2011,1,2011-01-01
1103,33,B985RY2,        Software \4\,2011_Q2,0.16,0.22,0.14,0.16,-0.06,0.02,0.0,0.08,0.06,0.02,0.08,0.09,0.16,0.0,0.02,2011,4,2011-04-01
1104,33,B985RY2,        Software \4\,2011_Q3,0.12,0.1,0.14,0.17,0.02,-0.02,-0.05,-0.04,0.02,0.02,0.04,0.09,0.17,0.05,0.03,2011,7,2011-07-01
1105,33,B985RY2,        Software \4\,2011_Q4,0.1,-0.02,0.17,0.15,0.12,-0.07,-0.05,-0.19,0.12,0.07,0.19,0.06,0.15,0.05,0.02,2011,10,2011-10-01
1106,33,B985RY2,        Software \4\,2012_Q1,0.16,0.11,0.08,0.03,0.05,0.08,0.13,0.03,0.05,0.08,0.03,0.05,0.03,0.13,0.05,2012,1,2012-01-01
1107,33,B985RY2,        Software \4\,2012_Q2,0.12,0.1,0.11,0.1,0.02,0.01,0.02,-0.01,0.02,0.01,0.01,0.05,0.1,0.02,0.01,2012,4,2012-04-01
1108,33,B985RY2,        Software \4\,2012_Q3,0.12,0.05,0.07,0.0,0.07,0.05,0.12,-0.02,0.07,0.05,0.02,0.05,0.0,0.12,0.07,2012,7,2012-07-01
1109,33,B985RY2,        Software \4\,2012_Q4,0.15,0.15,0.16,0.12,0.0,-0.01,0.03,-0.01,0.0,0.01,0.01,0.05,0.12,0.03,0.04,2012,10,2012-10-01
1110,33,B985RY2,        Software \4\,2013_Q1,0.05,0.17,0.11,0.13,-0.12,-0.06,-0.08,0.06,0.12,0.06,0.06,0.04,0.13,0.08,0.02,2013,1,2013-01-01
1340,38,B985RY2,        Software \4\,2013_Q2,0.07,-0.03,-0.11,-0.15,0.1,0.18,0.22,0.08,0.1,0.18,0.08,0.06,0.15,0.22,0.04,2013,4,2013-04-01
1341,38,B985RY2,        Software \4\,2013_Q3,0.06,0.03,0.14,0.14,0.03,-0.08,-0.08,-0.11,0.03,0.08,0.11,0.07,0.14,0.08,0.0,2013,7,2013-07-01
1342,38,B985RY2,        Software \4\,2013_Q4,0.06,0.28,0.05,0.09,-0.22,0.01,-0.03,0.23,0.22,0.01,0.23,0.06,0.09,0.03,0.04,2013,10,2013-10-01
1343,38,B985RY2,        Software \4\,2014_Q1,0.04,0.03,0.03,0.14,0.01,0.01,-0.1,0.0,0.01,0.01,0.0,0.05,0.14,0.1,0.11,2014,1,2014-01-01
1344,38,B985RY2,        Software \4\,2014_Q2,0.07,0.07,0.07,0.13,0.0,0.0,-0.06,0.0,0.0,0.0,0.0,0.05,0.13,0.06,0.06,2014,4,2014-04-01
1345,38,B985RY2,        Software \4\,2014_Q3,0.08,0.08,0.15,0.17,0.0,-0.07,-0.09,-0.07,0.0,0.07,0.07,0.05,0.17,0.09,0.02,2014,7,2014-07-01
1346,38,B985RY2,        Software \4\,2014_Q4,0.16,0.17,0.09,0.1,-0.01,0.07,0.06,0.08,0.01,0.07,0.08,0.06,0.1,0.06,0.01,2014,10,2014-10-01
1347,38,B985RY2,        Software \4\,2015_Q1,0.1,0.13,0.13,0.16,-0.03,-0.03,-0.06,0.0,0.03,0.03,0.0,0.06,0.16,0.06,0.03,2015,1,2015-01-01
1348,38,B985RY2,        Software \4\,2015_Q2,0.14,0.15,0.11,0.11,-0.01,0.03,0.03,0.04,0.01,0.03,0.04,0.04,0.11,0.03,0.0,2015,4,2015-04-01
1349,38,B985RY2,        Software \4\,2015_Q3,0.03,0.02,-0.02,-0.02,0.01,0.05,0.05,0.04,0.01,0.05,0.04,0.03,0.02,0.05,0.0,2015,7,2015-07-01
1350,38,B985RY2,        Software \4\,2015_Q4,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,2015,10,2015-10-01
