,bea_code,category,description,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
544,Y033RY2,Equipment,Other equipment,2006_Q3,0.05,0.05,0.05,0.05,0.0,0.0,0.0,30.0,2006,7,2006-07-01
545,Y033RY2,Equipment,Transportation equipment,2006_Q3,0.11,0.15,0.15,0.15,0.04,0.04,0.04,30.0,2006,7,2006-07-01
546,Y033RY2,Equipment,Computers and peripheral equipment,2006_Q4,0.05,0.0,0.0,0.0,-0.05,0.05,0.05,30.0,2006,10,2006-10-01
547,Y033RY2,Equipment,Industrial equipment,2006_Q4,-0.05,-0.07,0.07,0.07,-0.02,0.02,0.02,30.0,2006,10,2006-10-01
548,Y033RY2,Equipment,Information processing equipment - other,2006_Q4,-0.13,-0.11,0.11,0.11,0.02,0.02,0.02,30.0,2006,10,2006-10-01
549,Y033RY2,Equipment,Other equipment,2006_Q4,-0.01,-0.01,0.01,0.01,0.0,0.0,0.0,30.0,2006,10,2006-10-01
550,Y033RY2,Equipment,Transportation equipment,2006_Q4,-0.15,-0.22,0.22,0.22,-0.07,0.07,0.07,30.0,2006,10,2006-10-01
551,Y033RY2,Equipment,Computers and peripheral equipment,2007_Q1,0.28,0.26,0.26,0.26,-0.02,0.02,0.02,30.0,2007,1,2007-01-01
552,Y033RY2,Equipment,Industrial equipment,2007_Q1,0.02,-0.04,0.04,0.04,-0.06,0.06,0.06,30.0,2007,1,2007-01-01
553,Y033RY2,Equipment,Information processing equipment - other,2007_Q1,0.16,0.21,0.21,0.21,0.05,0.05,0.05,30.0,2007,1,2007-01-01
554,Y033RY2,Equipment,Other equipment,2007_Q1,-0.26,-0.31,0.31,0.31,-0.05,0.05,0.05,30.0,2007,1,2007-01-01
555,Y033RY2,Equipment,Transportation equipment,2007_Q1,-0.17,-0.13,0.13,0.13,0.04,0.04,0.04,30.0,2007,1,2007-01-01
556,Y033RY2,Equipment,Computers and peripheral equipment,2007_Q2,0.03,0.08,0.08,0.08,0.05,0.05,0.05,30.0,2007,4,2007-04-01
557,Y033RY2,Equipment,Industrial equipment,2007_Q2,0.21,0.19,0.19,0.19,-0.02,0.02,0.02,30.0,2007,4,2007-04-01
558,Y033RY2,Equipment,Information processing equipment - other,2007_Q2,0.15,0.11,0.11,0.11,-0.04,0.04,0.04,30.0,2007,4,2007-04-01
559,Y033RY2,Equipment,Other equipment,2007_Q2,0.09,0.11,0.11,0.11,0.02,0.02,0.02,30.0,2007,4,2007-04-01
560,Y033RY2,Equipment,Transportation equipment,2007_Q2,-0.41,-0.32,0.32,0.32,0.09,0.09,0.09,30.0,2007,4,2007-04-01
561,Y033RY2,Equipment,Computers and peripheral equipment,2007_Q3,0.07,0.08,0.08,0.08,0.01,0.01,0.01,30.0,2007,7,2007-07-01
562,Y033RY2,Equipment,Industrial equipment,2007_Q3,0.1,0.1,0.1,0.1,0.0,0.0,0.0,30.0,2007,7,2007-07-01
563,Y033RY2,Equipment,Information processing equipment - other,2007_Q3,0.02,0.09,0.09,0.09,0.07,0.07,0.07,30.0,2007,7,2007-07-01
564,Y033RY2,Equipment,Other equipment,2007_Q3,0.07,0.07,0.07,0.07,0.0,0.0,0.0,30.0,2007,7,2007-07-01
565,Y033RY2,Equipment,Transportation equipment,2007_Q3,0.05,0.03,0.03,0.03,-0.02,0.02,0.02,30.0,2007,7,2007-07-01
566,Y033RY2,Equipment,Computers and peripheral equipment,2007_Q4,0.14,0.2,0.2,0.2,0.06,0.06,0.06,30.0,2007,10,2007-10-01
567,Y033RY2,Equipment,Industrial equipment,2007_Q4,-0.18,-0.18,0.18,0.18,0.0,0.0,0.0,30.0,2007,10,2007-10-01
568,Y033RY2,Equipment,Information processing equipment - other,2007_Q4,0.18,0.13,0.13,0.13,-0.05,0.05,0.05,30.0,2007,10,2007-10-01
569,Y033RY2,Equipment,Other equipment,2007_Q4,0.13,0.08,0.08,0.08,-0.05,0.05,0.05,30.0,2007,10,2007-10-01
570,Y033RY2,Equipment,Transportation equipment,2007_Q4,-0.13,-0.19,0.19,0.19,-0.06,0.06,0.06,30.0,2007,10,2007-10-01
571,Y033RY2,Equipment,Computers and peripheral equipment,2008_Q1,0.12,0.12,0.12,0.12,0.0,0.0,0.0,30.0,2008,1,2008-01-01
572,Y033RY2,Equipment,Industrial equipment,2008_Q1,0.13,0.04,0.04,0.04,-0.09,0.09,0.09,30.0,2008,1,2008-01-01
573,Y033RY2,Equipment,Information processing equipment - other,2008_Q1,-0.02,0.0,0.0,0.0,0.02,0.02,0.02,30.0,2008,1,2008-01-01
574,Y033RY2,Equipment,Other equipment,2008_Q1,-0.18,-0.16,0.16,0.16,0.02,0.02,0.02,30.0,2008,1,2008-01-01
575,Y033RY2,Equipment,Transportation equipment,2008_Q1,-0.23,-0.16,0.16,0.16,0.07,0.07,0.07,30.0,2008,1,2008-01-01
576,Y033RY2,Equipment,Computers and peripheral equipment,2008_Q2,0.08,0.08,0.08,0.08,0.0,0.0,0.0,30.0,2008,4,2008-04-01
577,Y033RY2,Equipment,Industrial equipment,2008_Q2,0.08,-0.05,0.05,0.05,-0.13,0.13,0.13,30.0,2008,4,2008-04-01
578,Y033RY2,Equipment,Information processing equipment - other,2008_Q2,0.19,0.18,0.18,0.18,-0.01,0.01,0.01,30.0,2008,4,2008-04-01
579,Y033RY2,Equipment,Other equipment,2008_Q2,-0.07,-0.04,0.04,0.04,0.03,0.03,0.03,30.0,2008,4,2008-04-01
580,Y033RY2,Equipment,Transportation equipment,2008_Q2,-0.6,-0.58,0.58,0.58,0.02,0.02,0.02,30.0,2008,4,2008-04-01
581,Y033RY2,Equipment,Computers and peripheral equipment,2008_Q3,-0.08,-0.16,0.16,0.16,-0.08,0.08,0.08,30.0,2008,7,2008-07-01
582,Y033RY2,Equipment,Industrial equipment,2008_Q3,-0.14,-0.12,0.12,0.12,0.02,0.02,0.02,30.0,2008,7,2008-07-01
583,Y033RY2,Equipment,Information processing equipment - other,2008_Q3,0.12,0.08,0.08,0.08,-0.04,0.04,0.04,30.0,2008,7,2008-07-01
584,Y033RY2,Equipment,Other equipment,2008_Q3,0.2,0.2,0.2,0.2,0.0,0.0,0.0,30.0,2008,7,2008-07-01
585,Y033RY2,Equipment,Transportation equipment,2008_Q3,-0.55,-0.47,0.47,0.47,0.08,0.08,0.08,30.0,2008,7,2008-07-01
586,Y033RY2,Equipment,Computers and peripheral equipment,2008_Q4,-0.21,-0.28,0.28,0.28,-0.07,0.07,0.07,30.0,2008,10,2008-10-01
587,Y033RY2,Equipment,Industrial equipment,2008_Q4,-0.22,-0.19,0.19,0.19,0.03,0.03,0.03,30.0,2008,10,2008-10-01
588,Y033RY2,Equipment,Information processing equipment - other,2008_Q4,-0.4,-0.42,0.42,0.42,-0.02,0.02,0.02,30.0,2008,10,2008-10-01
589,Y033RY2,Equipment,Other equipment,2008_Q4,-0.33,-0.31,0.31,0.31,0.02,0.02,0.02,30.0,2008,10,2008-10-01
590,Y033RY2,Equipment,Transportation equipment,2008_Q4,-0.88,-0.75,0.75,0.75,0.13,0.13,0.13,30.0,2008,10,2008-10-01
591,Y033RY2,Equipment,Computers and peripheral equipment,2009_Q1,-0.1,-0.06,0.06,0.06,0.04,0.04,0.04,30.0,2009,1,2009-01-01
592,Y033RY2,Equipment,Industrial equipment,2009_Q1,-0.7,-0.72,0.72,0.72,-0.02,0.02,0.02,30.0,2009,1,2009-01-01
593,Y033RY2,Equipment,Information processing equipment - other,2009_Q1,-0.31,-0.26,0.26,0.26,0.05,0.05,0.05,30.0,2009,1,2009-01-01
594,Y033RY2,Equipment,Other equipment,2009_Q1,-0.5,-0.46,0.46,0.46,0.04,0.04,0.04,30.0,2009,1,2009-01-01
595,Y033RY2,Equipment,Transportation equipment,2009_Q1,-0.65,-0.66,0.66,0.66,-0.01,0.01,0.01,30.0,2009,1,2009-01-01
596,Y033RY2,Equipment,Computers and peripheral equipment,2009_Q2,0.02,0.08,0.08,0.08,0.06,0.06,0.06,30.0,2009,4,2009-04-01
597,Y033RY2,Equipment,Industrial equipment,2009_Q2,-0.18,-0.18,0.18,0.18,0.0,0.0,0.0,30.0,2009,4,2009-04-01
598,Y033RY2,Equipment,Information processing equipment - other,2009_Q2,0.03,0.09,0.09,0.09,0.06,0.06,0.06,30.0,2009,4,2009-04-01
599,Y033RY2,Equipment,Other equipment,2009_Q2,-0.39,-0.42,0.42,0.42,-0.03,0.03,0.03,30.0,2009,4,2009-04-01
600,Y033RY2,Equipment,Transportation equipment,2009_Q2,0.14,0.09,0.09,0.09,-0.05,0.05,0.05,30.0,2009,4,2009-04-01
601,Y033RY2,Equipment,Computers and peripheral equipment,2009_Q3,0.01,0.05,0.05,0.05,0.04,0.04,0.04,30.0,2009,7,2009-07-01
602,Y033RY2,Equipment,Industrial equipment,2009_Q3,-0.13,-0.15,0.15,0.15,-0.02,0.02,0.02,30.0,2009,7,2009-07-01
603,Y033RY2,Equipment,Information processing equipment - other,2009_Q3,0.15,0.13,0.13,0.13,-0.02,0.02,0.02,30.0,2009,7,2009-07-01
604,Y033RY2,Equipment,Other equipment,2009_Q3,-0.16,-0.12,0.12,0.12,0.04,0.04,0.04,30.0,2009,7,2009-07-01
605,Y033RY2,Equipment,Transportation equipment,2009_Q3,0.05,0.1,0.1,0.1,0.05,0.05,0.05,30.0,2009,7,2009-07-01
606,Y033RY2,Equipment,Computers and peripheral equipment,2009_Q4,0.33,0.37,0.37,0.37,0.04,0.04,0.04,30.0,2009,10,2009-10-01
607,Y033RY2,Equipment,Industrial equipment,2009_Q4,-0.04,-0.07,0.07,0.07,-0.03,0.03,0.03,30.0,2009,10,2009-10-01
608,Y033RY2,Equipment,Information processing equipment - other,2009_Q4,0.19,0.19,0.19,0.19,0.0,0.0,0.0,30.0,2009,10,2009-10-01
609,Y033RY2,Equipment,Other equipment,2009_Q4,-0.07,-0.03,0.03,0.03,0.04,0.04,0.04,30.0,2009,10,2009-10-01
610,Y033RY2,Equipment,Transportation equipment,2009_Q4,0.31,0.31,0.31,0.31,0.0,0.0,0.0,30.0,2009,10,2009-10-01
611,Y033RY2,Equipment,Computers and peripheral equipment,2010_Q1,0.15,0.02,0.02,0.02,-0.13,0.13,0.13,30.0,2010,1,2010-01-01
612,Y033RY2,Equipment,Industrial equipment,2010_Q1,0.0,0.01,0.01,0.01,0.01,0.01,0.01,30.0,2010,1,2010-01-01
613,Y033RY2,Equipment,Information processing equipment - other,2010_Q1,0.06,0.03,0.03,0.03,-0.03,0.03,0.03,30.0,2010,1,2010-01-01
614,Y033RY2,Equipment,Other equipment,2010_Q1,0.26,0.3,0.3,0.3,0.04,0.04,0.04,30.0,2010,1,2010-01-01
615,Y033RY2,Equipment,Transportation equipment,2010_Q1,0.01,0.17,0.17,0.17,0.16,0.16,0.16,30.0,2010,1,2010-01-01
616,Y033RY2,Equipment,Computers and peripheral equipment,2010_Q2,0.27,0.24,0.24,0.24,-0.03,0.03,0.03,30.0,2010,4,2010-04-01
617,Y033RY2,Equipment,Industrial equipment,2010_Q2,0.44,0.39,0.39,0.39,-0.05,0.05,0.05,30.0,2010,4,2010-04-01
618,Y033RY2,Equipment,Information processing equipment - other,2010_Q2,0.11,0.17,0.17,0.17,0.06,0.06,0.06,30.0,2010,4,2010-04-01
619,Y033RY2,Equipment,Other equipment,2010_Q2,0.1,0.17,0.17,0.17,0.07,0.07,0.07,30.0,2010,4,2010-04-01
620,Y033RY2,Equipment,Transportation equipment,2010_Q2,0.32,0.4,0.4,0.4,0.08,0.08,0.08,30.0,2010,4,2010-04-01
621,Y033RY2,Equipment,Computers and peripheral equipment,2010_Q3,-0.03,0.01,0.01,0.01,0.04,0.04,0.04,30.0,2010,7,2010-07-01
622,Y033RY2,Equipment,Industrial equipment,2010_Q3,0.08,0.07,0.07,0.07,-0.01,0.01,0.01,30.0,2010,7,2010-07-01
623,Y033RY2,Equipment,Information processing equipment - other,2010_Q3,0.1,0.15,0.15,0.15,0.05,0.05,0.05,30.0,2010,7,2010-07-01
624,Y033RY2,Equipment,Other equipment,2010_Q3,0.23,0.2,0.2,0.2,-0.03,0.03,0.03,30.0,2010,7,2010-07-01
625,Y033RY2,Equipment,Transportation equipment,2010_Q3,0.28,0.4,0.4,0.4,0.12,0.12,0.12,30.0,2010,7,2010-07-01
626,Y033RY2,Equipment,Computers and peripheral equipment,2010_Q4,0.18,0.16,0.16,0.16,-0.02,0.02,0.02,30.0,2010,10,2010-10-01
627,Y033RY2,Equipment,Industrial equipment,2010_Q4,0.13,0.11,0.11,0.11,-0.02,0.02,0.02,30.0,2010,10,2010-10-01
628,Y033RY2,Equipment,Information processing equipment - other,2010_Q4,0.15,0.19,0.19,0.19,0.04,0.04,0.04,30.0,2010,10,2010-10-01
629,Y033RY2,Equipment,Other equipment,2010_Q4,0.04,0.07,0.07,0.07,0.03,0.03,0.03,30.0,2010,10,2010-10-01
630,Y033RY2,Equipment,Transportation equipment,2010_Q4,-0.25,-0.2,0.2,0.2,0.05,0.05,0.05,30.0,2010,10,2010-10-01
631,Y033RY2,Equipment,Computers and peripheral equipment,2011_Q1,-0.06,-0.04,0.04,0.04,0.02,0.02,0.02,30.0,2011,1,2011-01-01
632,Y033RY2,Equipment,Industrial equipment,2011_Q1,0.16,0.15,0.15,0.15,-0.01,0.01,0.01,30.0,2011,1,2011-01-01
633,Y033RY2,Equipment,Information processing equipment - other,2011_Q1,0.02,0.03,0.03,0.03,0.01,0.01,0.01,30.0,2011,1,2011-01-01
634,Y033RY2,Equipment,Other equipment,2011_Q1,0.18,0.11,0.11,0.11,-0.07,0.07,0.07,30.0,2011,1,2011-01-01
635,Y033RY2,Equipment,Transportation equipment,2011_Q1,0.33,0.3,0.3,0.3,-0.03,0.03,0.03,30.0,2011,1,2011-01-01
636,Y033RY2,Equipment,Computers and peripheral equipment,2011_Q2,0.32,0.27,0.27,0.27,-0.05,0.05,0.05,30.0,2011,4,2011-04-01
637,Y033RY2,Equipment,Industrial equipment,2011_Q2,-0.12,-0.01,0.01,0.01,0.11,0.11,0.11,30.0,2011,4,2011-04-01
638,Y033RY2,Equipment,Information processing equipment - other,2011_Q2,-0.07,-0.09,0.09,0.09,-0.02,0.02,0.02,30.0,2011,4,2011-04-01
639,Y033RY2,Equipment,Other equipment,2011_Q2,-0.05,-0.01,0.01,0.01,0.04,0.04,0.04,30.0,2011,4,2011-04-01
640,Y033RY2,Equipment,Transportation equipment,2011_Q2,0.16,0.14,0.14,0.14,-0.02,0.02,0.02,30.0,2011,4,2011-04-01
641,Y033RY2,Equipment,Computers and peripheral equipment,2011_Q3,0.1,0.08,0.08,0.08,-0.02,0.02,0.02,30.0,2011,7,2011-07-01
642,Y033RY2,Equipment,Industrial equipment,2011_Q3,0.37,0.36,0.36,0.36,-0.01,0.01,0.01,30.0,2011,7,2011-07-01
643,Y033RY2,Equipment,Information processing equipment - other,2011_Q3,-0.15,-0.18,0.18,0.18,-0.03,0.03,0.03,30.0,2011,7,2011-07-01
644,Y033RY2,Equipment,Other equipment,2011_Q3,0.42,0.42,0.42,0.42,0.0,0.0,0.0,30.0,2011,7,2011-07-01
645,Y033RY2,Equipment,Transportation equipment,2011_Q3,0.34,0.3,0.3,0.3,-0.04,0.04,0.04,30.0,2011,7,2011-07-01
646,Y033RY2,Equipment,Computers and peripheral equipment,2011_Q4,0.15,0.1,0.1,0.1,-0.05,0.05,0.05,30.0,2011,10,2011-10-01
647,Y033RY2,Equipment,Industrial equipment,2011_Q4,0.25,0.22,0.22,0.22,-0.03,0.03,0.03,30.0,2011,10,2011-10-01
648,Y033RY2,Equipment,Information processing equipment - other,2011_Q4,-0.02,0.07,0.07,0.07,0.09,0.09,0.09,30.0,2011,10,2011-10-01
649,Y033RY2,Equipment,Other equipment,2011_Q4,-0.17,-0.21,0.21,0.21,-0.04,0.04,0.04,30.0,2011,10,2011-10-01
650,Y033RY2,Equipment,Transportation equipment,2011_Q4,0.08,0.19,0.19,0.19,0.11,0.11,0.11,30.0,2011,10,2011-10-01
651,Y033RY2,Equipment,Computers and peripheral equipment,2012_Q1,-0.12,-0.01,0.01,0.01,0.11,0.11,0.11,30.0,2012,1,2012-01-01
652,Y033RY2,Equipment,Industrial equipment,2012_Q1,-0.17,-0.22,0.22,0.22,-0.05,0.05,0.05,30.0,2012,1,2012-01-01
653,Y033RY2,Equipment,Information processing equipment - other,2012_Q1,-0.02,0.05,0.05,0.05,0.07,0.07,0.07,30.0,2012,1,2012-01-01
