,bea_code,category,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
1971,A011RY2,Residential - A011RY2,2008_Q2,-0.62,-0.52,0.52,0.52,0.1,0.1,0.1,41,2008,4,2008-04-01
1972,A011RY2,Residential - A011RY2,2008_Q3,-0.72,-0.6,0.6,0.6,0.12,0.12,0.12,41,2008,7,2008-07-01
1973,A011RY2,Residential - A011RY2,2008_Q4,-0.85,-0.8,0.8,0.8,0.05,0.05,0.05,41,2008,10,2008-10-01
1974,A011RY2,Residential - A011RY2,2009_Q1,-1.36,-1.4,1.4,1.4,-0.04,0.04,0.04,41,2009,1,2009-01-01
1975,A011RY2,Residential - A011RY2,2009_Q2,-0.88,-0.67,0.67,0.67,0.21,0.21,0.21,41,2009,4,2009-04-01
1976,A011RY2,Residential - A011RY2,2009_Q3,0.53,0.43,0.43,0.43,-0.1,0.1,0.1,41,2009,7,2009-07-01
1977,A011RY2,Residential - A011RY2,2009_Q4,0.14,0.1,0.1,0.1,-0.04,0.04,0.04,41,2009,10,2009-10-01
1978,A011RY2,Residential - A011RY2,2010_Q1,-0.29,-0.27,0.27,0.27,0.02,0.02,0.02,41,2010,1,2010-01-01
1979,A011RY2,Residential - A011RY2,2010_Q2,0.59,0.55,0.55,0.55,-0.04,0.04,0.04,41,2010,4,2010-04-01
1980,A011RY2,Residential - A011RY2,2010_Q3,-0.8,-0.75,0.75,0.75,0.05,0.05,0.05,41,2010,7,2010-07-01
1981,A011RY2,Residential - A011RY2,2010_Q4,0.08,0.07,0.07,0.07,-0.01,0.01,0.01,41,2010,10,2010-10-01
1982,A011RY2,Residential - A011RY2,2011_Q1,-0.09,-0.05,0.05,0.05,0.04,0.04,0.04,41,2011,1,2011-01-01
1983,A011RY2,Residential - A011RY2,2011_Q2,0.08,0.09,0.09,0.09,0.01,0.01,0.01,41,2011,4,2011-04-01
1984,A011RY2,Residential - A011RY2,2011_Q3,0.05,0.03,0.03,0.03,-0.02,0.02,0.02,41,2011,7,2011-07-01
1985,A011RY2,Residential - A011RY2,2011_Q4,0.23,0.25,0.25,0.25,0.02,0.02,0.02,41,2011,10,2011-10-01
1986,A011RY2,Residential - A011RY2,2012_Q1,0.4,0.42,0.42,0.42,0.02,0.02,0.02,41,2012,1,2012-01-01
1987,A011RY2,Residential - A011RY2,2012_Q2,0.22,0.19,0.19,0.19,-0.03,0.03,0.03,41,2012,4,2012-04-01
1988,A011RY2,Residential - A011RY2,2012_Q3,0.33,0.31,0.31,0.31,-0.02,0.02,0.02,41,2012,7,2012-07-01
1989,A011RY2,Residential - A011RY2,2012_Q4,0.36,0.41,0.41,0.41,0.05,0.05,0.05,41,2012,10,2012-10-01
1990,A011RY2,Residential - A011RY2,2013_Q1,0.31,0.34,0.34,0.34,0.03,0.03,0.03,41,2013,1,2013-01-01
1991,A011RY2,Residential - A011RY2,2013_Q2,0.38,0.4,0.4,0.4,0.02,0.02,0.02,41,2013,4,2013-04-01
1992,A011RY2,Residential - A011RY2,2013_Q3,0.43,0.31,0.31,0.31,-0.12,0.12,0.12,41,2013,7,2013-07-01
1993,A011RY2,Residential - A011RY2,2013_Q4,-0.32,-0.26,0.26,0.26,0.06,0.06,0.06,41,2013,10,2013-10-01
1994,A011RY2,Residential - A011RY2,2014_Q1,-0.18,-0.13,0.13,0.13,0.05,0.05,0.05,41,2014,1,2014-01-01
1995,A011RY2,Residential - A011RY2,2014_Q2,0.23,0.27,0.27,0.27,0.04,0.04,0.04,41,2014,4,2014-04-01
1996,A011RY2,Residential - A011RY2,2014_Q3,0.06,0.1,0.1,0.1,0.04,0.04,0.04,41,2014,7,2014-07-01
1997,A011RY2,Residential - A011RY2,2014_Q4,0.13,0.12,0.12,0.12,-0.01,0.01,0.01,41,2014,10,2014-10-01
1998,A011RY2,Residential - A011RY2,2015_Q1,0.04,0.21,0.21,0.21,0.17,0.17,0.17,41,2015,1,2015-01-01
1999,A011RY2,Residential - A011RY2,2015_Q2,0.21,0.3,0.3,0.3,0.09,0.09,0.09,41,2015,4,2015-04-01
2000,A011RY2,Residential - A011RY2,2015_Q3,0.2,0.27,0.27,0.27,0.07,0.07,0.07,41,2015,7,2015-07-01
2001,A011RY2,Residential - A011RY2,2015_Q4,0.27,0.33,0.33,0.33,0.06,0.06,0.06,41,2015,10,2015-10-01
