,bea_code,category,description,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
6120,DNDGRY2,Nondurable goods,"Gasoline, fuel oil, and other energy goods",2008_Q1,-0.05,-0.18,0.18,0.18,-0.13,0.13,0.13,9.0,2008,1,2008-01-01
6121,DNDGRY2,Nondurable goods,Other,2008_Q1,-0.19,-0.05,0.05,0.05,0.14,0.14,0.14,9.0,2008,1,2008-01-01
6122,DNDGRY2,Nondurable goods,Clothing and shoes,2008_Q2,0.26,0.28,0.28,0.28,0.02,0.02,0.02,9.0,2008,4,2008-04-01
6123,DNDGRY2,Nondurable goods,Food,2008_Q2,0.28,0.4,0.4,0.4,0.12,0.12,0.12,9.0,2008,4,2008-04-01
6124,DNDGRY2,Nondurable goods,"Gasoline, fuel oil, and other energy goods",2008_Q2,-0.04,-0.2,0.2,0.2,-0.16,0.16,0.16,9.0,2008,4,2008-04-01
6125,DNDGRY2,Nondurable goods,Other,2008_Q2,0.33,0.33,0.33,0.33,0.0,0.0,0.0,9.0,2008,4,2008-04-01
6126,DNDGRY2,Nondurable goods,Clothing and shoes,2008_Q3,-0.31,-0.38,0.38,0.38,-0.07,0.07,0.07,9.0,2008,7,2008-07-01
6127,DNDGRY2,Nondurable goods,Food,2008_Q3,-0.89,-0.75,0.75,0.75,0.14,0.14,0.14,9.0,2008,7,2008-07-01
6128,DNDGRY2,Nondurable goods,"Gasoline, fuel oil, and other energy goods",2008_Q3,-0.23,-0.45,0.45,0.45,-0.22,0.22,0.22,9.0,2008,7,2008-07-01
6129,DNDGRY2,Nondurable goods,Other,2008_Q3,0.02,0.01,0.01,0.01,-0.01,0.01,0.01,9.0,2008,7,2008-07-01
6130,DNDGRY2,Nondurable goods,Clothing and shoes,2008_Q4,-0.26,-0.24,0.24,0.24,0.02,0.02,0.02,9.0,2008,10,2008-10-01
6131,DNDGRY2,Nondurable goods,Food,2008_Q4,-1.44,-1.52,1.52,1.52,-0.08,0.08,0.08,9.0,2008,10,2008-10-01
6132,DNDGRY2,Nondurable goods,"Gasoline, fuel oil, and other energy goods",2008_Q4,0.63,0.23,0.23,0.23,-0.4,0.4,0.4,9.0,2008,10,2008-10-01
6133,DNDGRY2,Nondurable goods,Other,2008_Q4,-0.43,-0.43,0.43,0.43,0.0,0.0,0.0,9.0,2008,10,2008-10-01
6134,DNDGRY2,Nondurable goods,Clothing and shoes,2009_Q1,0.1,-0.01,0.01,0.01,-0.11,0.11,0.11,9.0,2009,1,2009-01-01
6135,DNDGRY2,Nondurable goods,Food,2009_Q1,-0.08,-0.27,0.27,0.27,-0.19,0.19,0.19,9.0,2009,1,2009-01-01
6136,DNDGRY2,Nondurable goods,"Gasoline, fuel oil, and other energy goods",2009_Q1,0.13,0.14,0.14,0.14,0.01,0.01,0.01,9.0,2009,1,2009-01-01
6137,DNDGRY2,Nondurable goods,Other,2009_Q1,0.12,0.07,0.07,0.07,-0.05,0.05,0.05,9.0,2009,1,2009-01-01
6138,DNDGRY2,Nondurable goods,Clothing and footwear,2009_Q2,-0.16,-0.2,0.2,0.2,-0.04,0.04,0.04,9.0,2009,4,2009-04-01
6139,DNDGRY2,Nondurable goods,Food and beverages purchased for off-premises consumption,2009_Q2,0.25,0.2,0.2,0.2,-0.05,0.05,0.05,9.0,2009,4,2009-04-01
6140,DNDGRY2,Nondurable goods,Gasoline and other energy goods,2009_Q2,-0.03,0.02,0.02,0.02,0.05,0.05,0.05,9.0,2009,4,2009-04-01
6141,DNDGRY2,Nondurable goods,Other nondurable goods,2009_Q2,-0.45,-0.32,0.32,0.32,0.13,0.13,0.13,9.0,2009,4,2009-04-01
6142,DNDGRY2,Nondurable goods,Clothing and footwear,2009_Q3,-0.03,-0.01,0.01,0.01,0.02,0.02,0.02,9.0,2009,7,2009-07-01
6143,DNDGRY2,Nondurable goods,Food and beverages purchased for off-premises consumption,2009_Q3,0.27,0.21,0.21,0.21,-0.06,0.06,0.06,9.0,2009,7,2009-07-01
6144,DNDGRY2,Nondurable goods,Gasoline and other energy goods,2009_Q3,0.04,-0.04,0.04,0.04,-0.08,0.08,0.08,9.0,2009,7,2009-07-01
6145,DNDGRY2,Nondurable goods,Other nondurable goods,2009_Q3,0.04,0.07,0.07,0.07,0.03,0.03,0.03,9.0,2009,7,2009-07-01
6146,DNDGRY2,Nondurable goods,Clothing and footwear,2009_Q4,0.17,0.17,0.17,0.17,0.0,0.0,0.0,9.0,2009,10,2009-10-01
6147,DNDGRY2,Nondurable goods,Food and beverages purchased for off-premises consumption,2009_Q4,0.23,0.27,0.27,0.27,0.04,0.04,0.04,9.0,2009,10,2009-10-01
6148,DNDGRY2,Nondurable goods,Gasoline and other energy goods,2009_Q4,-0.06,-0.05,0.05,0.05,0.01,0.01,0.01,9.0,2009,10,2009-10-01
