,line,code,description,date,ADVANCE,SECOND,THIRD,adv_less_second,adv_less_third,second_less_third,abs_adv_less_second,abs_adv_less_third,abs_second_less_third,abs_two_year,current,abs_adv_less_current,abs_third_less_current
1704,38,B985RY2,        Software \4\,2013_Q3,0.06,0.03,0.14,0.03,-0.08000000000000002,-0.11000000000000001,0.03,0.08000000000000002,0.11000000000000001,0.0675,0.14,0.08000000000000002,0.0
1766,38,B985RY2,        Software \4\,2013_Q4,0.06,0.28,0.05,-0.22000000000000003,0.009999999999999995,0.23000000000000004,0.22000000000000003,0.009999999999999995,0.23000000000000004,0.060000000000000005,0.09,0.03,0.039999999999999994
1828,38,B985RY2,        Software \4\,2014_Q1,0.04,0.03,0.03,0.010000000000000002,0.010000000000000002,0.0,0.010000000000000002,0.010000000000000002,0.0,0.051250000000000004,0.14,0.1,0.11000000000000001
1890,38,B985RY2,        Software \4\,2014_Q2,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.13,0.06,0.06
1952,38,B985RY2,        Software \4\,2014_Q3,0.08,0.08,0.15,0.0,-0.06999999999999999,-0.06999999999999999,0.0,0.06999999999999999,0.06999999999999999,0.052500000000000005,0.17,0.09000000000000001,0.020000000000000018
2014,38,B985RY2,        Software \4\,2014_Q4,0.16,0.17,0.09,-0.010000000000000009,0.07,0.08000000000000002,0.010000000000000009,0.07,0.08000000000000002,0.060000000000000005,0.1,0.06,0.010000000000000009
2076,38,B985RY2,        Software \4\,2015_Q1,0.1,0.13,0.13,-0.03,-0.03,0.0,0.03,0.03,0.0,0.05625,0.16,0.06,0.03
2138,38,B985RY2,        Software \4\,2015_Q2,0.14,0.15,0.11,-0.009999999999999981,0.030000000000000013,0.039999999999999994,0.009999999999999981,0.030000000000000013,0.039999999999999994,0.037500000000000006,0.11,0.030000000000000013,0.0
2200,38,B985RY2,        Software \4\,2015_Q3,0.03,0.02,-0.02,0.009999999999999998,0.05,0.04,0.009999999999999998,0.05,0.04,0.03375,-0.02,0.05,0.0
2262,38,B985RY2,        Software \4\,2015_Q4,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0325,0.03,0.0,0.0
